Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1744651002850,ci37715852,1.29,33.047165,-116.59033,16.01
1744650998370,ci40926111,1.31,33.0465,-116.597664,13.94
1744650963270,ci37715844,0.96,33.063667,-116.6025,15.42
1744650905860,ci37715836,1.52,33.043335,-116.58667,15.29
1744650881120,ci37715676,1.45,33.065666,-116.60833,15.08
1744650872410,ci40926095,1.7,33.029167,-116.5845,14.64
1744650843350,ci40926087,2.55,33.048332,-116.6025,13.21
1744650819520,ci37542933,1.84,33.053665,-116.608,14.49
1744650788520,ci40926079,2.97,33.0395,-116.59617,11.95
1744650727990,ci40926055,2.57,33.049168,-116.60333,13.54
1744650715810,ci37715580,2.1,33.0375,-116.571335,12.79
1744650715650,ci40926047,2.13,33.043,-116.58234,13.86
1744650700860,ci37715572,2.06,33.036335,-116.57183,14.02
1744650689960,ci40926039,2.35,33.038334,-116.588,14.04
1744650654900,ci37715548,2.41,33.0405,-116.589165,13.47
1744650654830,ci40926031,2.33,33.0435,-116.58683,13.81
1744650644990,ci37715556,2.5,33.0395,-116.587,14.47
1744650638100,ci37715564,2.47,33.074665,-116.61483,14.26
1744650621560,ci40926023,2.77,33.073666,-116.6095,16.08
1744650617560,ci40926015,2.83,33.0535,-116.60883,15.08
